2026-05-12 10:27:13.997 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=305ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 10:28:56.706 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=134ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 10:28:57.963 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=FAILURE | DURATION=173ms | DESC=User login attempt | ERROR=Invalid email or password. Please try again.
2026-05-12 10:32:44.381 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=1393ms | DESC=User login attempt | ERROR=-
2026-05-12 10:48:20.054 [AUDIT] ACTION=REFRESH_TOKEN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=60ms | DESC=Access token refresh | ERROR=-
2026-05-12 10:49:21.933 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=26ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:49:29.461 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=21ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:50:30.142 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=18ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:51:18.102 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=25ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:51:37.197 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=22ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:51:46.476 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=20ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:51:59.489 [AUDIT] ACTION=UPDATE_HOLIDAY | RESOURCE=Holiday | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=20ms | DESC=Update holiday — affects org-wide leave calendar | ERROR=-
2026-05-12 10:54:43.188 [AUDIT] ACTION=CREATE_BRANCH | RESOURCE=Branch | USER=yashraj.gmtechnosys@gmail.com | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=47ms | DESC=Create new branch | ERROR=-
2026-05-12 10:57:59.117 [AUDIT] ACTION=LOGIN | RESOURCE=Auth | USER=anonymous | IP=0:0:0:0:0:0:0:1 | STATUS=SUCCESS | DURATION=156ms | DESC=User login attempt | ERROR=-
